OBJECTID	NAME	Obesity	Shape__Area	Shape__Length
1	Texas		32,4	7,67233E+12	15408321,87
2	California	24,2	5,32781E+12	14518698,46
3	Kentucky	34,6	1,12883E+12	6346698,586
4	Georgia		30,7	1,65298E+12	5795595,919
5	Wisconsin	30,7	1,56782E+12	6806782,081
6	Oregon		30,1	3,17845E+12	7976010,942
7	Virginia	29,2	1,1588E+12	7710803,9
8	Tennessee	33,8	1,17705E+12	6350376,861
9	Louisiana	36,2	1,35509E+12	7383856,92
10	New York	25	1,41144E+12	7981383,078
11	Michigan	31,2	1,65722E+12	12407988,03
12	Idaho		28,6	2,5936E+12	9081125,222
13	Florida		26,8	1,67441E+12	10533929,14
14	Alaska		29,8	5,30114E+11	6663726,59
15	Montana		23,6	4,37147E+12	9745471,753
16	Minnesota	26,1	2,36787E+12	8530250,43
17	Nebraska	31,4	2,20744E+12	6921599,988
18	Washington	26,4	2,21421E+12	7508966,841
19	Ohio		29,8	1,15802E+12	5015484,924
20	Illinois	30,8	1,57157E+12	6172530,809
21	Missouri	32,4	1,94902E+12	7165632,969
22	Iowa		32,1	1,57559E+12	5558144,625
23	South Dakota	30,4	2,19905E+12	6680911,248
24	Arkansas	34,5	1,4887E+12	5707634,003
25	Mississippi	35,6	1,32785E+12	5834201,768
26	Colorado	20,2	3,06688E+12	7092296,498
27	North Carolina	30,1	1,49576E+12	6714056,237
28	Utah		24,5	2,61428E+12	6798972,504
29	Oklahoma	33,9	1,98245E+12	7857119,569
30	Wyoming		29	2,8974E+12	6860971,19
31	West Virginia	35,6	6,85167E+11	5374279,697
32	Indiana		31,3	1,01036E+12	4858882,219
33	Massachusetts	24,3	2,47225E+11	4197218,183
34	Nevada		26,7	3,56435E+12	8240794,811
35	Connecticut	25,3	1,45422E+11	1780630,956
36	Columbia	22,1	1972102306	200324,9608
37	Rhode Island	26	36178076495	984524,5815
38	Alabama		35,6	1,44281E+12	5750657,812
39	Puerto Rico	29,5	1,14784E+11	2136273,272
40	South Carolina	31,7	8,7827E+11	4370940,548
41	Maine		30	9,90385E+11	5560035,365
42	Arizona		28,4	3,56269E+12	8044184,234
43	New Mexico	28,8	3,62293E+12	8075166,555
44	Maryland	28,9	3,03943E+11	5850363,292
45	Delaware	29,7	59081101611	1383604,118
46	Pennsylvania	30	1,28845E+12	5024348,113
47	Kansas		34,2	2,34037E+12	6540498,42
48	Vermont		25,1	2,78931E+11	2653732,233
49	New Jersey	25,6	2,24607E+11	2599119,261
50	North Dakota	31	2,01315E+12	5872756,359
51	New Hampshire	26,3	2,70529E+11	2674767,148